plot,date,morph,svl,sex,id,occasion,status
a,10/24/17,L,17.95,U,H2_xPBx_L,1,n
a,10/24/17,S,18.06,U,H2_xGPx_S,1,n
a,10/24/17,L,18.32,U,H2_PxxG_L,1,n
a,10/24/17,S,19.39,U,H2_xBPx_S,1,n
a,10/24/17,L,24.18,U,H2_BxBx_L,1,n
a,10/24/17,S,27.9,U,H2_xGxG_S,1,n
a,10/24/17,L,28.62,U,H2_GBOB_L,1,n
a,10/24/17,L,28.9,U,H2_OBGB_L,1,n
a,10/24/17,S,29,U,H2_BBxx_S,1,n
a,10/24/17,S,29.04,U,H2_OBGO_S,1,n
a,10/24/17,S,30,U,H2_OBGG_S,1,n
a,10/24/17,S,31.24,U,H2_xBBx_S,1,n
a,10/24/17,S,31.45,U,H2_BOOO_S,1,n
a,10/24/17,L,32.48,U,H2_GBBO_L,1,n
a,10/24/17,S,35.71,M,H2_OPGP_S,1,n
a,10/24/17,L,36.88,F,H2_OPPO_L,1,n
a,10/24/17,S,37.16,M,H2_GBGB_S,1,n
a,10/24/17,L,37.83,M,H2_BOOG_L,1,n
a,10/24/17,S,37.84,F,H2_OOPP_S,1,n
a,10/24/17,L,37.86,U,H2_BGPB_L,1,n
a,10/24/17,L,38.15,M,H2_OBOP_L,1,n
a,10/24/17,L,38.17,U,H2_OBOB_L,1,n
a,10/24/17,S,38.45,U,H2_PPGO_S,1,n
a,10/24/17,S,38.68,U,H2_OBBG_S,1,n
a,10/24/17,L,38.7,U,H2_GPGO_L,1,n
a,10/24/17,S,38.83,F,H2_POOP_S,1,n
a,10/24/17,L,38.88,U,H2_GBOO_L,1,n
a,10/24/17,L,39.23,M,H2_BBOP_L,1,n
a,10/24/17,L,39.38,M,H2_PGBP_L,1,n
a,10/24/17,S,39.52,F,H2_OBBO_S,1,n
a,10/24/17,L,39.57,U,H2_GGGB_L,1,n
a,10/24/17,L,39.78,F,H2_BPBO_L,1,n
a,10/24/17,S,39.98,M,H2_xBxO_S,1,n
a,10/24/17,L,40.39,U,H2_GPBP_L,1,n
a,10/24/17,L,40.42,M,H2_POPP_L1,1,n
a,10/24/17,S,40.46,M,H2_OOGP_S,1,n
a,10/24/17,L,40.81,F,H2_PGBO_L,1,n
a,10/24/17,S,41.08,U,H2_GBGO_S,1,n
a,10/24/17,S,41.12,M,H2_BOPO_S,1,n
a,10/24/17,S,41.27,F,H2_PBOG_S,1,n
a,10/24/17,L,41.42,F,H2_OBPO_L,1,n
a,10/24/17,L,41.46,F,H2_OOPG_L,1,n
a,10/24/17,S,42.16,F,H2_GBBB_S,1,n
a,10/24/17,S,42.2,M,H2_PPPG_S,1,n
a,10/24/17,S,42.42,F,H2_POBB_S,1,n
a,10/24/17,S,42.44,M,H2_PGGP_S,1,n
a,10/24/17,S,42.45,M,H2_GBOG_S,1,n
a,10/24/17,S,42.64,U,H2_GOBB_S,1,n
a,10/24/17,S,42.69,M,H2_PPOP_S,1,n
a,10/24/17,S,42.72,M,H2_POGG_S,1,n
a,10/24/17,L,42.94,F,H2_PPPO_L,1,n
a,10/24/17,S,43.04,M,H2_OGGP_S1,1,n
a,10/24/17,L,43.3,M,H2_OBBB_L,1,n
a,10/24/17,L,43.34,U,H2_PBGR_L,1,n
a,10/24/17,S,43.41,M,H2_GBBG_S,1,n
a,10/24/17,L,43.49,M,H2_OBOG_L,1,n
a,10/24/17,L,43.8,M,H2_GPOP_L,1,n
a,10/24/17,L,43.97,M,H2_BBGP_L,1,n
a,10/24/17,L,44.33,F,H2_OGOG_L,1,n
a,10/24/17,L,44.34,U,H2_GGBB_L,1,n
a,10/24/17,S,44.58,F,H2_PPPO_S,1,n
a,10/24/17,L,45.11,M,H2_xxBO_L1,1,n
a,10/24/17,S,45.47,F,H2_PPOB_S,1,n
a,10/24/17,S,45.57,U,H2_OBOO_S,1,n
a,10/24/17,S,45.67,M,H2_GBGP_S2,1,n
a,10/24/17,L,45.78,F,H2_BPOO_L,1,n
a,10/24/17,S,46.12,F,H2_OGPG_S,1,n
a,10/24/17,S,46.14,U,H2_GBGG_S,1,n
a,10/24/17,L,47.37,F,H2_GOGO_L,1,n
a,10/24/17,L,47.68,M,H2_BPGP_L,1,n
a,11/14/17,S,18.5,U,H2_OOGO_S,2,n
a,11/14/17,S,18.81,U,H2_OOOO_S,2,n
a,11/14/17,L,19.09,U,H2_RBPB_L,2,n
a,11/14/17,L,19.22,U,H2_RBBP_L,2,n
a,11/14/17,L,19.28,U,H2_OxOx_L,2,n
a,11/14/17,L,19.79,U,H2_xxPP_L,2,n
a,11/14/17,S,19.82,U,H2_GOOO_S,2,n
a,11/14/17,L,19.83,U,H2_GGxx_L,2,n
a,11/14/17,L,20,U,H2_GxGx_L,2,n
a,11/14/17,S,20.29,U,H2_OOxx_S,2,n
a,11/14/17,S,20.43,U,H2_OxxO_S,2,n
a,11/14/17,L,20.584,U,H2_xPBx_L,2,rc
a,11/14/17,S,20.65,U,H2_xxGG_S,2,n
a,11/14/17,L,21.26,U,H2_OGBO_L,2,n
a,11/14/17,S,22.07,U,H2_RBGP_S,2,n
a,11/14/17,L,22.99,U,H2_GxxG_L,2,n
a,11/14/17,L,28.42,U,H2_OGBB_L,2,n
a,11/14/17,S,28.79,M,H2_xOOx_S,2,n
a,11/14/17,S,30.26,U,H2_OGOO_S,2,n
a,11/14/17,L,30.44,U,H2_OOBB_L,2,n
a,11/14/17,L,30.49,U,H2_BGOP_L,2,n
a,11/14/17,L,30.51,U,H2_GBOB_L,2,rc
a,11/14/17,L,30.77,U,H2_OBGB_L,2,rc
a,11/14/17,S,30.94,U,H2_BBGO_S,2,n
a,11/14/17,L,31.24,U,H2_OGOB_L,2,n
a,11/14/17,S,31.83,U,H2_GBGP_S1,2,n
a,11/14/17,L,32.41,U,H2_OGBG_L,2,n
a,11/14/17,L,32.59,U,H2_GGBG_L,2,n
a,11/14/17,L,32.92,U,H2_BBPO_L,2,n
a,11/14/17,L,32.99,U,H2_GBBO_L,2,rc
a,11/14/17,L,33.02,U,H2_OGGO_L,2,n
a,11/14/17,S,33.58,U,H2_RBGG_S,2,n
a,11/14/17,S,33.94,U,H2_OOOG_S,2,n
a,11/14/17,L,34.26,U,H2_OOGG_L,2,n
a,11/14/17,S,34.5,U,H2_OGGB_S,2,n
a,11/14/17,S,35,U,H2_GOOG_S,2,n
a,11/14/17,S,35.14,U,H2_xBBx_S,2,rc
a,11/14/17,S,35.2,U,H2_PBOR_S,2,n
a,11/14/17,S,36.28,U,H2_OOBG_S,2,n
a,11/14/17,S,36.62,U,H2_OOOB_S,2,n
a,11/14/17,L,37.05,M,H2_OOGB_L,2,n
a,11/14/17,S,37.1,M,H2_OPGO_S,2,n
a,11/14/17,S,37.62,F,H2_PBOP_S,2,n
a,11/14/17,S,37.68,F,H2_PxxP_S,2,n
a,11/14/17,L,37.91,M,H2_PGBP_L,2,rc
a,11/14/17,L,38.58,F,H2_RBBB_L,2,n
a,11/14/17,L,38.8,M,H2_BBOP_L,2,rc
a,11/14/17,L,39,U,H2_GOGB_L,2,n
a,11/14/17,L,39.06,M,H2_BOOG_L,2,rc
a,11/14/17,S,39.21,M,H2_PPOP_S,2,rc
a,11/14/17,S,39.29,M,H2_GPPP_S,2,n
a,11/14/17,S,39.55,M,H2_GOOB_S,2,n
a,11/14/17,L,39.63,F,H2_BPOG_L,2,n
a,11/14/17,S,39.77,F,H2_OBBO_S,2,rc
a,11/14/17,L,39.8,U,H2_GPGO_L,2,rc
a,11/14/17,S,40.02,U,H2_GGGO_S,2,n
a,11/14/17,L,40.39,F,H2_OGGG_L,2,n
a,11/14/17,S,40.45,F,H2_POOP_S,2,rc
a,11/14/17,L,40.92,M,H2_POOO_L,2,n
a,11/14/17,L,41.18,M,H2_POPP_L1,2,rc
a,11/14/17,L,41.24,F,H2_GOBG_L,2,n
a,11/14/17,S,41.25,F,H2_BBBR_S,2,n
a,11/14/17,L,41.35,U,H2_BGPB_L,2,rc
a,11/14/17,S,41.67,M,H2_xBxO_S,2,rc
a,11/14/17,L,42.02,M,H2_PPPB_L,2,n
a,11/14/17,L,42.09,F,H2_PGBO_L,2,rc
a,11/14/17,S,42.21,F,H2_RBOP_S,2,n
a,11/14/17,L,42.3,F,H2_GGGG_L,2,n
a,11/14/17,S,42.43,M,H2_xOBx_S,2,n
a,11/14/17,L,42.44,M,H2_OOBO_L,2,n
a,11/14/17,L,42.66,M,H2_OOPP_L,2,n
a,11/14/17,L,42.84,F,H2_GGOB_L,2,n
a,11/14/17,S,43.13,F,H2_BOPP_S,2,n
a,11/14/17,S,43.14,F,H2_BGPO_S1,2,n
a,11/14/17,S,43.36,M,H2_PBBR_S,2,n
a,11/14/17,S,43.41,M,H2_GGOG_S,2,n
a,11/14/17,S,43.54,F,H2_GBBB_S,2,rc
a,11/14/17,S,43.55,M,H2_PPPG_S,2,rc
a,11/14/17,S,43.66,M,H2_OGGP_S1,2,rc
a,11/14/17,S,43.68,M,H2_PGGP_S,2,rc
a,11/14/17,L,43.73,M,H2_GOOO_L,2,n
a,11/14/17,S,44.01,U,H2_POBG_S,2,n
a,11/14/17,L,44.22,F,H2_OBPO_L,2,rc
a,11/14/17,S,44.27,M,H2_POGG_S,2,rc
a,11/14/17,L,44.77,U,H2_BBGB_L,2,n
a,11/14/17,S,45.22,F,H2_GOBO_S,2,n
a,11/14/17,L,45.53,F,H2_BPOO_L,2,rc
a,11/14/17,S,45.55,M,H2_GOPP_S,2,n
a,11/14/17,S,45.95,F,H2_PPPO_S,2,rc
a,11/14/17,L,46,F,H2_GGBO_L,2,n
a,11/14/17,L,46.05,M,H2_GOOP_L,2,n
a,11/14/17,L,47.369,F,H2_GOGO_L,2,rc
a,11/14/17,S,48.02,M,H2_OOPO_S,2,n
a,11/14/17,L,48.04,M,H2_BPGP_L,2,rc
a,11/14/17,L,48.6,F,H2_OGOG_L,2,rc
a,11/14/17,S,50.03,F,H2_OPOG_S,2,n
